Red,237,10,63
Maroon,195,33,72
Scarlet,253,14,53
Brick Red,198,45,66
English Vermilion,204,71,75
Madder Lake,204,51,54
Permanent Geranium Lake,225,44,44
Maximum Red,217,33,33
Indian Red,185,78,72
Orange-Red,255,63,52
Sunset Orange,254,76,64
Bittersweet,254,111,94
Dark Venetian Red,179,59,36
Venetian Red,204,85,61
Light Venetian Red,230,115,92
Vivid Tangerine,255,153,128
Middle Red,229,144,115
Burnt Orange,255,112,52
Red-Orange,255,104,31
Orange,255,136,100
Macaroni and Cheese,255,185,123
Middle Yellow Red,236,177,118
Mango Tango,231,114,0
Yellow-Orange,255,174,66
Maximum Yellow Red,242,186,73
Banana Mania,251,231,178
Maize,242,198,73
Orange-Yellow,248,213,104
Goldenrod,252,214,103
Dandelion,254,216,93
Yellow,252,232,131
Green-Yellow,241,231,136
Middle Yellow,255,235,0
Olive Green,181,179,92
Spring Green,236,235,189
Maximum Yellow,250,250,55
Canary,255,255,153
Lemon Yellow,255,255,159
Maximum Green Yellow,217,230,80
Middle Green Yellow,172,191,96
Inchworm,175,227,19
Light Chrome Green,190,230,75
Yellow-Green,197,225,122
Maximum Green,94,140,49
Asparagus,123,160,91
Granny Smith Apple,157,224,147
Fern,99,183,108
Middle Green,77,140,87
Green,58,166,85
Medium Chrome Green,108,166,124
Forest Green,95,167,119
Sea Green,147,223,184
Shamrock,51,204,153
Mountain Meadow,26,179,133
Jungle Green,41,171,135
Caribbean Green,0,204,153
Tropical Rain Forest,0,117,94
Middle Blue Green,141,217,204
Pine Green,1,120,111
Maximum Blue Green,48,191,191
Robin's Egg Blue,0,204,204
Teal Blue,0,128,128
Light Blue,143,216,216
Aquamarine,149,224,232
Turquoise Blue,108,218,231
Outer Space,45,56,58
Sky Blue,118,215,234
Middle Blue,126,212,230
Blue-Green,0,149,183
Pacific Blue,0,157,196
Cerulean,2,164,211
Maximum Blue,71,171,204
Blue (I),46,180,230
Cerulean Blue,51,154,204
Cornflower,147,204,234
Green-Blue,40,135,200
Midnight Blue,0,70,140
Navy Blue,0,102,204
Denim,21,96,189
Blue (III),0,102,255
Cadet Blue,169,178,195
Periwinkle,195,205,230
Blue (II),69,112,230
Bluetiful,60,105,231
Wild Blue Yonder,122,137,184
Indigo,79,105,198
Manatee,141,144,161
Cobalt Blue,140,144,200
Celestial Blue,112,112,204
Blue Bell,153,153,204
Maximum Blue Purple,172,172,230
Violet-Blue,118,110,200
Blue-Violet,100,86,183
Ultramarine Blue,63,38,191
Middle Blue Purple,139,114,190
Purple Heart,101,45,193
Royal Purple,107,63,160
Violet (II),131,89,163
Medium Violet,143,71,179
Wisteria,201,160,220
Lavender (I),191,143,204
Vivid Violet,128,55,144
Maximum Purple,115,51,128
Purple Mountains' Majesty,214,174,221
Fuchsia,193,84,193
Pink Flamingo,252,116,253
Violet (I),115,46,108
Brilliant Rose,230,103,206
Orchid,226,156,210
Plum,142,49,121
Medium Rose,217,108,190
Thistle,235,176,215
Mulberry,200,80,155
Red-Violet,187,51,133
Middle Purple,217,130,181
Maximum Red Purple,166,58,121
Jazzberry Jam,165,11,94
Eggplant,97,64,81
Magenta,246,83,166
Cerise,218,50,135
Wild Strawberry,255,51,153
Lavender (II),251,174,210
Cotton Candy,255,183,213
Carnation Pink,255,166,201
Violet-Red,247,70,138
Razzmatazz,227,11,92
Pig Pink,253,215,228
Carmine,230,46,107
Blush,219,80,121
Tickle Me Pink,252,128,165
Mauvelous,240,145,169
Salmon,255,145,164
Middle Red Purple,165,83,83
Mahogany,202,52,53
Melon,254,186,173
Pink Sherbert,247,163,142
Burnt Sienna,233,116,81
Brown,175,89,62
Sepia,158,91,64
Fuzzy Wuzzy,135,66,31
Beaver,146,111,91
Tumbleweed,222,166,129
